NAME,Aminoglycosides,Carbapenems,Cephalosporins (3rd gen.),Cephalosporins (3rd gen.) + β-lactamase inhibitors,Colistin,Fluoroquinolones,Fosfomycin,Penicillins,Penicillins + β-lactamase inhibitors,Phenicols,Sulfonamides,Tetracycline,Tigecycline,Trimethoprim
ERR3162615,1,1,0,0,0,1,0,1,0,1,1,0,0,1
ERR4635750,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4635715,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784746,1,1,1,0,0,1,0,1,0,1,0,0,0,1
SRR8859433,1,1,0,0,1,1,0,1,0,1,1,0,0,1
ERR3162633,1,0,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784437,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784093,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR4784312,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784115,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784275,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4635721,1,1,0,0,0,1,0,1,0,0,0,0,0,0
ERR4784366,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4920486,1,1,1,0,0,1,0,1,0,0,1,1,0,1
ERR3162585,1,1,0,0,0,1,0,1,0,1,1,0,0,1
ERR3162580,1,1,1,0,0,1,0,1,0,1,0,0,0,0
ERR4784263,1,1,1,0,0,1,0,1,0,1,0,0,0,0
ERR3162560,1,0,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784131,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784392,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4785087,0,1,0,0,0,1,0,1,0,0,0,0,0,0
ERR4784094,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4635743,1,1,1,0,0,1,0,1,0,1,1,0,0,1
SRR9966443,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784223,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784431,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784709,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784935,1,1,1,0,0,1,0,1,0,1,0,0,0,0
ERR4784338,1,1,1,0,0,1,0,1,0,1,0,0,0,0
ERR4784735,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784472,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR3162635,1,0,1,0,0,1,0,1,0,1,0,1,0,1
ERR4784753,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784311,1,1,0,0,0,1,0,1,0,1,1,0,0,1
ERR4785052,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784840,1,1,0,0,0,1,0,1,0,1,1,0,0,1
SRR8859438,1,1,1,0,0,1,0,1,0,1,1,0,0,0
ERR4635718,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784085,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784266,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4785057,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4785002,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR3162612,1,1,0,0,0,1,0,1,0,1,1,0,0,1
SRR8859439,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784359,1,1,1,0,0,1,0,1,0,1,0,0,0,0
ERR4784717,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784848,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784041,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784128,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784236,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4635631,1,1,0,0,0,1,0,1,0,1,1,0,0,1
ERR4784896,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784713,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784468,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784999,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR4784184,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4635753,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4785104,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4785015,1,1,0,0,0,1,0,1,0,1,1,0,0,1
ERR4785028,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784847,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784363,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784250,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784304,1,0,1,0,0,1,0,1,0,1,1,1,0,1
ERR3162559,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784081,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784892,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR3162584,1,1,0,0,1,1,0,1,0,1,1,0,0,1
SRR8859443,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784742,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784795,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784476,1,1,1,0,0,1,0,1,0,0,0,0,0,0
ERR4784887,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784246,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784400,1,1,1,0,0,1,0,1,0,0,1,1,0,1
ERR3162610,1,0,1,0,0,0,0,1,0,1,1,0,0,1
ERR4784108,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784229,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR3162579,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR4784435,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784145,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784938,1,1,1,0,0,1,0,1,0,0,1,0,0,0
ERR4784991,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784315,1,0,1,0,0,1,0,1,0,1,0,0,0,1
ERR4635634,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4635746,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784169,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR3162586,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784102,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784144,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4635712,1,1,1,0,0,1,0,1,0,1,1,0,0,0
SRR9966442,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784350,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784837,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4920488,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784433,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR3162593,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4785112,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784248,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784767,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR4784464,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784116,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784451,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784199,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4785023,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4824536,1,1,1,0,1,1,0,1,0,1,1,0,0,1
SRR10850262,1,1,1,0,0,1,0,1,0,1,1,0,0,0
ERR4784334,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR3162603,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784187,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR4784127,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR3162619,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR4784177,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR3162566,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784863,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4785012,1,1,1,0,0,1,0,1,0,0,1,0,0,0
ERR4784295,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784429,1,1,1,0,1,1,0,1,0,1,1,1,0,1
ERR4784124,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784162,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR3162570,1,0,1,0,0,1,0,1,0,0,1,1,0,1
ERR4920487,1,1,1,0,0,1,0,1,0,0,1,1,0,1
ERR4784231,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784379,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784340,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SRR9966444,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR3162617,0,0,0,0,0,0,0,1,0,0,1,0,0,0
SRR6883066,0,0,0,0,0,1,0,1,0,1,1,0,0,0
ERR4784156,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784901,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784202,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784182,1,1,1,0,0,1,0,1,0,0,1,1,0,1
ERR4784424,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR3162601,1,1,0,0,0,1,0,1,0,1,1,1,0,1
ERR4784327,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784453,1,1,1,0,0,1,0,1,0,1,1,1,0,1
SRR8859426,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784307,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR3162552,1,1,0,0,0,1,0,1,0,1,1,0,0,1
ERR4784342,0,0,1,0,0,1,0,1,0,0,0,0,0,0
ERR3162628,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784323,1,1,0,0,0,1,0,1,0,1,1,1,0,1
ERR4784821,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR3162591,1,1,0,0,0,1,0,1,0,1,0,0,0,1
ERR4784346,1,1,1,0,0,1,0,1,0,1,1,0,0,1
SRR8859435,1,1,1,0,1,1,0,1,0,0,1,0,0,0
ERR4784456,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784294,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784762,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784356,1,1,0,0,0,1,0,1,0,1,1,0,0,1
SRR8859442,1,1,0,0,1,1,0,1,0,1,1,0,0,1
ERR4784073,1,1,0,0,1,1,0,1,0,1,1,0,0,1
ERR4784224,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784286,1,1,0,0,0,1,0,1,0,0,0,0,0,1
ERR4784927,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784321,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784329,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR3162565,1,0,1,0,0,1,0,1,0,0,1,1,0,1
ERR4784816,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR4635747,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR3162622,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR4784725,1,1,0,0,0,1,0,1,0,0,0,0,0,0
ERR4784123,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784445,1,1,1,0,1,1,0,1,0,0,1,0,0,1
ERR3162608,0,0,1,0,0,1,0,1,0,0,0,0,0,0
ERR4784983,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784904,1,1,1,0,0,1,0,1,0,0,0,1,0,0
ERR4785049,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR3162569,1,0,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784757,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4920489,1,1,1,0,0,1,0,1,0,1,0,0,0,0
ERR4784090,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784265,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR3162561,1,1,0,0,0,1,0,1,0,1,1,0,0,1
ERR3162614,1,1,1,0,0,1,0,1,0,1,0,0,0,0
ERR4784449,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR4784111,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784460,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784105,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784408,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784769,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784916,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4785063,1,1,1,0,0,1,0,1,0,0,0,1,0,1
ERR4784244,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784832,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784203,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784308,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784380,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784148,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4635728,1,1,1,0,0,1,0,1,0,1,1,0,0,0
ERR3162555,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4785022,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784101,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4785092,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784140,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784336,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784132,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784078,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4635734,1,1,1,0,1,1,0,1,0,1,1,1,0,1
ERR4784330,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784986,1,1,1,0,1,1,0,1,0,1,1,1,0,1
ERR4784240,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784166,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4785031,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR3162592,1,1,0,0,0,1,0,1,0,1,1,0,0,1
ERR4784396,1,0,1,0,0,1,0,1,0,1,0,1,0,1
SRR8859440,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR3162553,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR4784441,1,1,1,0,1,1,0,1,0,0,1,0,0,1
ERR4784120,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784257,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784180,1,1,0,0,0,1,0,1,0,1,1,0,0,1
ERR3162636,0,0,0,0,0,1,0,1,0,0,0,0,0,1
ERR4784775,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4785045,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4785020,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR3162567,1,1,0,0,0,1,0,1,0,1,1,0,0,1
ERR4784779,1,1,1,0,1,1,0,1,0,1,1,1,0,1
ERR4784255,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4785037,1,1,1,0,0,1,0,1,0,0,0,1,0,0
ERR4785078,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784942,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784738,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784192,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR4784152,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR3162582,1,0,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784170,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784119,1,1,1,0,0,1,0,1,0,1,1,0,0,1
SRR8859430,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784749,1,1,1,0,0,1,0,1,0,1,1,1,0,1
SRR8859441,1,1,1,0,1,1,0,1,0,1,1,1,0,1
ERR4784098,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784875,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784252,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784076,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784420,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784750,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784734,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784270,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784239,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784157,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR3162558,1,0,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784228,1,1,1,0,0,1,0,1,0,1,1,0,0,1
SRR8859432,1,1,1,0,0,1,0,1,0,1,1,0,0,0
ERR4784395,1,1,1,0,0,1,0,1,0,1,1,0,0,0
ERR4784458,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784777,1,1,1,0,0,1,0,1,0,0,1,0,0,1
SRR8859437,1,1,1,0,1,1,0,1,0,1,1,0,0,1
ERR4784404,1,0,1,0,0,1,0,1,0,0,1,0,0,1
ERR3162574,1,1,0,0,0,1,0,1,0,1,1,0,0,1
ERR4784242,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4785122,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4635762,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784137,1,1,1,0,0,1,0,1,0,1,1,0,0,1
SRR6883069,1,1,0,0,0,1,0,1,0,1,1,0,0,0
ERR4785008,1,1,0,0,0,1,0,1,0,1,1,1,0,1
ERR3162562,1,1,1,0,0,1,0,1,0,0,1,1,0,0
ERR3162588,1,1,0,0,0,1,0,1,0,1,1,0,0,0
ERR4785124,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784271,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR3162599,1,1,1,0,0,1,0,1,0,1,1,0,0,0
ERR4784879,1,1,1,0,0,1,0,1,0,0,1,1,0,1
ERR4784401,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784726,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784375,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR3162607,1,1,0,0,0,1,0,1,0,1,1,0,0,1
SRR8859436,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784416,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784913,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784741,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784721,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4635731,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784730,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784316,1,0,1,0,0,1,0,1,0,0,1,1,0,1
ERR3162620,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR3162629,1,0,1,0,0,0,0,1,0,0,1,1,0,1
ERR4784112,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784427,1,0,1,0,0,1,0,1,0,1,0,1,0,0
ERR3162578,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SRR10566676,1,1,0,0,0,1,0,1,0,1,1,0,0,1
ERR3162637,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR4784703,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4785066,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784149,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784783,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784279,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4635737,1,1,0,0,0,1,0,1,0,1,1,0,0,1
ERR4784283,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR3162604,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR3162598,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784466,1,1,0,0,0,1,0,1,0,1,1,0,0,1
ERR3162609,1,1,0,0,0,1,0,1,0,1,0,0,0,1
ERR4784362,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4920490,1,1,1,0,0,1,0,1,0,0,0,0,0,0
ERR4784454,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784384,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784443,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784165,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784834,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784792,1,1,1,0,0,1,0,1,0,1,1,1,0,1
SRR9218215,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR3162611,1,1,0,0,0,1,0,1,0,0,0,1,0,1
ERR4784332,1,0,1,0,0,1,0,1,0,1,1,1,0,1
ERR4785083,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784412,1,0,1,0,0,1,0,1,0,1,1,1,0,0
ERR3162605,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR4784258,1,1,1,0,0,1,0,1,0,1,1,0,0,1
SRR8859425,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4635800,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR3162634,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR3162624,1,1,1,0,0,1,0,1,0,1,1,0,0,0
ERR4784421,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784086,1,1,1,0,0,1,0,1,0,1,0,0,0,1
SRR8859434,1,1,1,0,1,1,0,1,0,1,1,0,0,1
ERR4784371,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784781,0,0,0,0,0,1,0,1,0,0,1,0,0,1
ERR4784160,1,1,1,0,0,1,0,1,0,1,1,0,0,1
SRR6883068,1,0,0,0,0,1,0,1,0,1,1,0,0,0
ERR3162632,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784174,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR3162571,1,1,0,0,0,1,0,1,0,0,1,0,0,1
ERR4784153,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR3162596,1,0,0,0,0,1,0,1,0,0,1,1,0,1
ERR4635759,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784755,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784136,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR3162576,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR4784077,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4635628,1,1,1,0,0,1,0,0,0,1,1,0,0,1
ERR4784425,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ERR4784097,1,1,1,0,0,1,0,1,0,1,1,1,0,1
SRR6883067,1,1,0,0,0,1,0,1,0,0,1,0,0,0
ERR4784069,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784299,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784219,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784292,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERR4784173,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784351,1,1,0,0,0,1,0,1,0,1,1,0,0,1
ERR4784141,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784061,1,0,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784808,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784803,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR3162631,1,1,1,0,0,1,0,1,0,0,1,0,0,1
